2025-02-27 18:34:12,670 - INFO - Starting training process...
2025-02-27 18:34:12,670 - INFO - Logs will be saved to: logs/training_20250227_183412.log
2025-02-27 18:34:12,670 - INFO - Models will be saved to: models/run_20250227_183412
2025-02-27 18:34:12,670 - INFO - Loading data from full_patient_dataset.csv...
2025-02-27 18:34:15,285 - INFO - Dataset sizes:
2025-02-27 18:34:15,285 - INFO - Training samples: 708097
2025-02-27 18:34:15,285 - INFO - Validation samples: 148515
2025-02-27 18:34:15,285 - INFO - Test samples: 189426
2025-02-27 18:34:15,286 - INFO - Initializing model...
2025-02-27 18:34:15,309 - INFO - Using device: mps
2025-02-27 18:34:15,309 - INFO - Looking at 4.0 hours of data to predict 1.0 hours ahead
2025-02-27 18:34:17,344 - ERROR - Error in training batch 154: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,350 - ERROR - Error in training batch 155: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,356 - ERROR - Error in training batch 156: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,363 - ERROR - Error in training batch 157: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,368 - ERROR - Error in training batch 158: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,375 - ERROR - Error in training batch 159: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,382 - ERROR - Error in training batch 160: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,390 - ERROR - Error in training batch 161: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,397 - ERROR - Error in training batch 162: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,404 - ERROR - Error in training batch 163: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,410 - ERROR - Error in training batch 164: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,417 - ERROR - Error in training batch 165: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,425 - ERROR - Error in training batch 166: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,432 - ERROR - Error in training batch 167: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,440 - ERROR - Error in training batch 168: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,447 - ERROR - Error in training batch 169: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,455 - ERROR - Error in training batch 170: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,461 - ERROR - Error in training batch 171: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,468 - ERROR - Error in training batch 172: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,475 - ERROR - Error in training batch 173: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,482 - ERROR - Error in training batch 174: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
2025-02-27 18:34:17,489 - ERROR - Error in training batch 175: Expected hidden[0] size (2, 16, 64), got [4, 16, 64]
